2025-06-17 00:26:02,363 INFO:✅ 바이낸스 마켓 정보 로딩 성공.
2025-06-17 00:26:02,426 INFO:✅ [XRPUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,475 INFO:ℹ️ [XRPUSDT] 설정 변경 필요 없음
2025-06-17 00:26:02,523 INFO:✅ [SOLUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,572 INFO:ℹ️ [SOLUSDT] 설정 변경 필요 없음
2025-06-17 00:26:02,641 INFO:✅ [ETHUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,690 INFO:ℹ️ [ETHUSDT] 설정 변경 필요 없음
2025-06-17 00:26:02,690 INFO:🚀 적응형 자동매매 프로그램을 시작합니다 (분산 투자 모드).
2025-06-17 00:26:02,767 INFO:📊 초기 잔고: $365.18
2025-06-17 00:27:00,270 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 2/11점, 숏: 3/11점
2025-06-17 00:27:00,554 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 00:27:00,845 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:28:01,080 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:28:01,361 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:28:01,664 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:29:00,906 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 6/11점
2025-06-17 00:29:01,193 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 00:29:01,493 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:30:00,744 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 00:30:01,030 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 00:30:01,328 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 00:31:00,561 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:31:00,887 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 00:31:01,167 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 9/11점, 숏: 4/11점
2025-06-17 00:32:00,403 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 00:32:00,697 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:32:00,994 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 6/11점
2025-06-17 00:33:01,251 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 00:33:01,582 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:33:01,917 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 00:34:01,130 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 6/11점
2025-06-17 00:34:01,427 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 00:34:01,719 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:35:00,948 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:35:01,237 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:35:01,528 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 00:36:00,743 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 9/11점, 숏: 1/11점
2025-06-17 00:36:01,029 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 3/11점, 숏: 4/11점
2025-06-17 00:36:01,321 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 00:37:00,541 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 6/11점
2025-06-17 00:37:00,835 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 3/11점, 숏: 4/11점
2025-06-17 00:37:01,128 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 00:38:00,364 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:38:00,646 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 00:38:00,926 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 00:39:01,257 INFO:✅ [XRP/USDT] 진입 전, 기존 조건부 주문 취소 완료.
2025-06-17 00:39:01,464 INFO:🚀 [XRP/USDT] 진입 성공! LONG | 수량: 340.1 | 진입가: 2.2866
2025-06-17 00:39:01,670 INFO:✅ [XRP/USDT] TP 주문 설정 완료. 발동가: 2.2990142857142857
2025-06-17 00:39:01,873 INFO:✅ [XRP/USDT] SL 주문 설정 완료. 발동가: 2.2793321428571427
2025-06-17 00:39:02,287 INFO:✍️ [거래 기록] XRP/USDT | LONG | 진입: 2.2847
2025-06-17 00:39:02,512 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:39:02,797 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:40:01,320 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 00:40:01,612 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 00:41:01,143 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:41:01,439 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:42:00,957 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 00:42:01,236 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 9/11점, 숏: 4/11점
2025-06-17 00:43:00,739 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 6/11점
2025-06-17 00:43:01,034 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 00:44:00,610 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 8/11점, 숏: 3/11점
2025-06-17 00:44:00,907 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:45:01,743 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 3/11점, 숏: 10/11점
2025-06-17 00:45:02,034 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 00:46:00,624 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 00:46:00,970 WARNING:⚠️ [ETH/USDT] 계산된 증거금($184.47) > 할당 자본($122.64)
2025-06-17 00:46:00,970 INFO:💡 [ETH/USDT] 주문량을 할당 자본 최대치로 재조정 -> 0.4641
2025-06-17 00:46:01,034 INFO:✅ [ETH/USDT] 진입 전, 기존 조건부 주문 취소 완료.
2025-06-17 00:46:01,235 INFO:🚀 [ETH/USDT] 진입 성공! LONG | 수량: 0.464 | 진입가: 2643.39
2025-06-17 00:46:01,442 INFO:✅ [ETH/USDT] TP 주문 설정 완료. 발동가: 2654.5842857142857
2025-06-17 00:46:01,647 INFO:✅ [ETH/USDT] SL 주문 설정 완료. 발동가: 2638.477142857143
2025-06-17 00:46:02,159 INFO:✍️ [거래 기록] ETH/USDT | LONG | 진입: 2642.87
2025-06-17 00:47:00,769 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 8/11점, 숏: 3/11점
2025-06-17 00:48:00,641 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:49:01,526 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 9/11점, 숏: 1/11점
2025-06-17 00:50:01,361 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:51:01,165 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:52:01,253 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:53:01,188 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 9/11점, 숏: 1/11점
2025-06-17 00:54:01,062 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 00:55:00,924 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 00:56:00,737 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 00:56:01,033 INFO:🔓 [ETH/USDT] 포지션 종료 확인 -> Lock 해제.
2025-06-17 00:56:01,033 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 00:57:00,554 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 00:57:00,834 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 5/11점
2025-06-17 00:58:01,363 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 0/11점, 숏: 8/11점
2025-06-17 00:58:01,655 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 00:59:01,183 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 00:59:01,450 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:00:01,123 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:00:01,411 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:01:00,985 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:01:01,282 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 3/11점, 숏: 5/11점
2025-06-17 01:02:00,882 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 01:02:01,176 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 01:03:00,766 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 1/11점, 숏: 9/11점
2025-06-17 01:03:01,045 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 01:04:00,608 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:04:00,891 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 01:05:01,481 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:05:01,780 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:06:01,003 INFO:🔓 [XRP/USDT] 포지션 종료 확인 -> Lock 해제.
2025-06-17 01:06:01,003 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:06:01,280 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 01:06:01,580 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:07:00,812 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 2/11점
2025-06-17 01:07:01,112 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 0/11점
2025-06-17 01:07:01,394 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 3/11점, 숏: 7/11점
2025-06-17 01:08:00,615 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:08:00,906 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 9/11점, 숏: 1/11점
2025-06-17 01:08:01,199 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:09:04,097 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:09:04,376 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 7/11점, 숏: 0/11점
